"id","year","round","date","grandPrixId","officialName","qualifyingFormat","sprintQualifyingFormat","circuitId","circuitType","courseLength","laps","distance","scheduledLaps","scheduledDistance"
1080,2023,1,"2023-03-05","bahrain","Formula 1 Gulf Air Bahrain Grand Prix 2023","KNOCKOUT",,"bahrain","RACE","5.412",57,"308.238",,
1081,2023,2,"2023-03-19","saudi-arabia","Formula 1 stc Saudi Arabian Grand Prix 2023","KNOCKOUT",,"jeddah","STREET","6.174",50,"308.450",,
1082,2023,3,"2023-04-02","australia","Formula 1 Rolex Australian Grand Prix 2023","KNOCKOUT",,"melbourne","STREET","5.303",58,"307.574",,
1083,2023,4,"2023-04-30","azerbaijan","Formula 1 Azerbaijan Grand Prix 2023","KNOCKOUT","SPRINT_SHOOTOUT","baku","STREET","6.003",51,"306.049",,
1084,2023,5,"2023-05-07","miami","Formula 1 Crypto.com Miami Grand Prix 2023","KNOCKOUT",,"miami","STREET","5.410",57,"308.370",,
1085,2023,6,"2023-05-28","monaco","Formula 1 Grand Prix de Monaco 2023","KNOCKOUT",,"monaco","STREET","3.337",78,"260.286",,
1086,2023,7,"2023-06-04","spain","Formula 1 AWS Gran Premio de España 2023","KNOCKOUT",,"catalunya","RACE","4.675",66,"308.424",,
1087,2023,8,"2023-06-18","canada","Formula 1 Pirelli Grand Prix du Canada 2023","KNOCKOUT",,"montreal","STREET","4.361",70,"305.270",,
1088,2023,9,"2023-07-02","austria","Formula 1 Rolex Grosser Preis von Österreich 2023","KNOCKOUT","SPRINT_SHOOTOUT","spielberg","RACE","4.318",71,"306.452",,
1089,2023,10,"2023-07-09","great-britain","Formula 1 Aramco British Grand Prix 2023","KNOCKOUT",,"silverstone","RACE","5.891",52,"306.198",,
1090,2023,11,"2023-07-23","hungary","Formula 1 Qatar Airways Hungarian Grand Prix 2023","KNOCKOUT",,"hungaroring","RACE","4.381",70,"306.630",,
1091,2023,12,"2023-07-30","belgium","Formula 1 MSC Cruises Belgian Grand Prix 2023","KNOCKOUT","SPRINT_SHOOTOUT","spa-francorchamps","RACE","7.004",44,"308.052",,
1092,2023,13,"2023-08-27","netherlands","Formula 1 Heineken Dutch Grand Prix 2023","KNOCKOUT",,"zandvoort","RACE","4.259",72,"306.587",,
1093,2023,14,"2023-09-03","italy","Formula 1 Pirelli Gran Premio d'Italia 2023","KNOCKOUT",,"monza","RACE","5.793",51,"295.134",53,"306.720"
1094,2023,15,"2023-09-17","singapore","Formula 1 Singapore Airlines Singapore Grand Prix 2023","KNOCKOUT",,"marina-bay","STREET","4.940",62,"306.143",,
1095,2023,16,"2023-09-24","japan","Formula 1 Lenovo Japanese Grand Prix 2023","KNOCKOUT",,"suzuka","RACE","5.807",53,"307.471",,
1096,2023,17,"2023-10-08","qatar","Formula 1 Qatar Airways Qatar Grand Prix 2023","KNOCKOUT","SPRINT_SHOOTOUT","losail","RACE","5.380",57,"306.669",,
1097,2023,18,"2023-10-22","united-states","Formula 1 Lenovo United States Grand Prix 2023","KNOCKOUT","SPRINT_SHOOTOUT","austin","RACE","5.513",56,"308.405",,
1098,2023,19,"2023-10-29","mexico","Formula 1 Gran Premio de la Ciudad de México 2023","KNOCKOUT",,"mexico-city","RACE","4.304",71,"305.354",,
1099,2023,20,"2023-11-05","brazil","Formula 1 Rolex Grande Prêmio de São Paulo 2023","KNOCKOUT","SPRINT_SHOOTOUT","interlagos","RACE","4.309",71,"305.879",,
1100,2023,21,"2023-11-18","las-vegas","Formula 1 Heineken Silver Las Vegas Grand Prix 2023","KNOCKOUT",,"las-vegas","STREET","6.116",50,"305.800",,
1101,2023,22,"2023-11-26","abu-dhabi","Formula 1 Etihad Airways Abu Dhabi Grand Prix 2023","KNOCKOUT",,"yas-marina","RACE","5.281",58,"306.183",,
